id,lon_start,lat_start,lon_end,lat_end,frequency
2881,10.753308,52.397496,10.754062,52.397228,0.380222
2882,10.754062,52.397228,10.754836,52.396528,0.704625
2883,10.754836,52.396528,10.754455,52.39587,0.902938
2884,10.754455,52.39587,10.753055,52.395689,1.100625
2885,10.741783,52.394817,10.741993,52.39567,1.009776
2886,10.741993,52.39567,10.741353,52.396727,0.989108
2887,10.741353,52.396727,10.742811,52.396829,1.006189
2888,10.742811,52.396829,10.744268,52.396931,1.145285
2889,10.744268,52.396931,10.74461,52.396945,1.242055
2890,10.74461,52.396945,10.745298,52.396975,1.232199
2891,10.724611,52.390789,10.725114,52.391035,0.30103
2892,10.767103,52.407069,10.766532,52.407231,0.878481
2893,10.766532,52.407231,10.765863,52.408411,0.843426
2894,10.765863,52.408411,10.765194,52.409591,0.915784
2895,10.708707,52.415205,10.709036,52.414574,1.067175
2896,10.709634,52.416234,10.708737,52.416187,0.628413
2897,10.707895,52.416242,10.707112,52.416232,0.897977
2898,10.70736,52.414379,10.706434,52.414698,1.122468
2899,10.706434,52.414698,10.706232,52.414934,1.119393
2900,10.707912,52.413238,10.70782,52.414226,0.743868
2901,10.70782,52.414226,10.70736,52.414379,0.782909
2902,10.70736,52.414379,10.708321,52.414488,1.063864
2903,10.710669,52.414794,10.711409,52.414512,1.348812
2904,10.708398,52.413296,10.707912,52.413238,0.875955
2905,10.709364,52.41273,10.708324,52.412623,0.866716
2906,10.708324,52.412623,10.707948,52.412851,0.755449
2907,10.707948,52.412851,10.707912,52.413238,0.742289
2908,10.707912,52.413238,10.706506,52.413064,0.723786
2909,10.710602,52.395578,10.711706,52.395221,0.103274
2910,10.709527,52.394684,10.708603,52.39498,0.643798
2911,10.708603,52.39498,10.710551,52.395255,0.521362
2912,10.710551,52.395255,10.710602,52.395578,1.32535
2913,10.710602,52.395578,10.710533,52.395786,1.358337
2914,10.710533,52.395786,10.710311,52.396059,1.393092
2915,10.719112,52.417989,10.718775,52.417243,0.23087
